RequestID,URL,Method,RequestHeaders,RequestBodySize,StartTime,EndTime,ResponseTime,StatusCode,ResponseHeaders,ResponseBodySize,Success,ErrorType,ErrorMessage,ConcurrentRequests
76ebe8f8-09ee-46e7-a1b7-e8de2ead922e,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.335878+02:00,2025-04-08T19:13:57.33672+02:00,841,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
18f112c0-fee0-453b-8f1b-765afb4d76f9,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.43698+02:00,2025-04-08T19:13:57.437714+02:00,733,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
041bae63-4679-4dd6-a12f-789ddfb57fae,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.537039+02:00,2025-04-08T19:13:57.538119+02:00,1079,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
78bc408e-0547-430a-b81e-639b817a9051,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.636996+02:00,2025-04-08T19:13:57.638847+02:00,1851,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
5f9c21ee-ea0a-4fa3-8ab6-4cb47e830bab,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.736307+02:00,2025-04-08T19:13:57.737813+02:00,1505,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
c01aac1f-443d-46a5-a5d4-68d3c5a13e66,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.836999+02:00,2025-04-08T19:13:57.838885+02:00,1886,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
e4d9edaf-fd44-48d3-b9af-866999ea47c5,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:57.937048+02:00,2025-04-08T19:13:57.938623+02:00,1574,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:57 GMT]",9,true,,,1
66d4b5f0-d6cc-4e88-b854-26385219ee4d,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.036652+02:00,2025-04-08T19:13:58.037923+02:00,1271,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
911bc39f-f5bd-4d9b-a5ad-11e67e8cb84b,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.136975+02:00,2025-04-08T19:13:58.138292+02:00,1317,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
ff956241-98b7-411f-b86b-fb1ea0165dc9,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.23654+02:00,2025-04-08T19:13:58.239427+02:00,2887,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
50de34d2-85a7-43f9-90da-f98da01a0081,http://localhost:8081/error,GET,map[Accept:*/*],0,2025-04-08T19:13:58.335918+02:00,2025-04-08T19:13:58.343811+02:00,7892,500,map[],0,false,HTTPError,HTTP status 500,1
87c79048-904f-4f7b-8b4d-61048780b8dc,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.443493+02:00,2025-04-08T19:13:58.445098+02:00,1605,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
79277fbc-6eec-47fb-82a0-3f0fecfab311,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.54268+02:00,2025-04-08T19:13:58.54412+02:00,1439,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
4643cb46-6161-4c27-ba3c-8c8d1a05b270,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.643469+02:00,2025-04-08T19:13:58.645425+02:00,1955,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
a92e6062-7cef-4eac-ac2e-466582aa0583,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.743426+02:00,2025-04-08T19:13:58.744095+02:00,669,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
cb01de27-b443-4788-9bdf-3130c9dc92bb,http://localhost:8081/error,GET,map[Accept:*/*],0,2025-04-08T19:13:58.843514+02:00,2025-04-08T19:13:58.844215+02:00,700,500,map[],0,false,HTTPError,HTTP status 500,1
ac9389db-6f16-43a2-af5f-e6e6a04f2302,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:58.943634+02:00,2025-04-08T19:13:58.945148+02:00,1513,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:58 GMT]",9,true,,,1
cf33035d-c7ba-4ddd-8177-760970efc519,http://localhost:8081/error,GET,map[Accept:*/*],0,2025-04-08T19:13:59.043994+02:00,2025-04-08T19:13:59.046137+02:00,2142,500,map[],0,false,HTTPError,HTTP status 500,1
84335fbb-0b36-4d8a-a140-08a56331072f,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:59.142935+02:00,2025-04-08T19:13:59.14442+02:00,1484,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:59 GMT]",9,true,,,1
fed15373-a7f5-4153-8eb4-f8f93251af52,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:59.236687+02:00,2025-04-08T19:13:59.238551+02:00,1863,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:59 GMT]",9,true,,,1
cf0ae407-310b-4e15-b09e-c7639198ebad,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:59.335461+02:00,2025-04-08T19:13:59.337036+02:00,1575,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:59 GMT]",9,true,,,1
42505c48-01aa-49de-97dc-83a31077691f,http://localhost:8081/success,GET,map[Accept:*/*],0,2025-04-08T19:13:59.44769+02:00,2025-04-08T19:13:59.448514+02:00,823,200,"map[Content-Length:9 Content-Type:text/plain; charset=utf-8 Date:Tue, 08 Apr 2025 17:13:59 GMT]",9,true,,,1
